Nom : Nombres Annuelle de tourisme          Code : nbAnnuelTouris      Type : NUMERIC(9)
Nom : Nom de la plage                       Code : plagNom             Type : VARCHAR(50)
Nom : Longueur de la plage en km            Code : plagLong            Type : DECIMAL(5,2)  
Nom : Nature de la plage                    Code : plagNatu            Type : VARCHAR(50)
Nom : Numéro de la nature de la plage       Code : plagNatuNb          Type NUMERIC(2)
Nom : Numéro de la plage                    Code : plagNb              Type NUMERIC(2)
Nom : Code postale                          Code : CP                  Type : NUMERIC(5) 
Nom : Numéro de la région                   Code : regNb               Type : NUMERIC(2)
Nom : Nom de la région                      Code : regNom              Type : VARCHAR(50)
Nom : Nom de la ville                       Code : vilNom              Type : VARCHAR(50) 
Nom : Numéro du responsable                 Code : resNum              Type : NUMERIC(2)
Nom : Nom du responsable                    Code : resPrenom           Type : VARCHAR(50)
Nom : Prenom du responsable                 Code : resNom              Type : VARCHAR(50)

test
